,Posicion,Compañia,Location,Posteado,Detalles
0,Senior Data Engineer,VTRAC Consulting Corporation (Certified Diversity Co.),Argentina,hace 2 semanas,"VTRAC Consulting Corporation
Intelligent Solutions


Thank you for applying to VTRAC opportunities. Please e-mail your resume as a MS-WORD document in confidence Subject: Senior Data Engineer, Attention: admin@vtrac.com or call: 416-366-2600 x229

Position #: 22xx
Position: Senior Data Engineer
Position Type: Remote
No. of Positions: 1
Location: Argentina



Responsibilities
· Work with client- and server-side engineers to ingest new data and properly surface for regular consumption
· Develop robust end-to-end data solutions for structured and unstructured data including, but not limited to, ingestion, parsing, integration, auditing, logging, aggregation, normalization, modeling, and error handling
· Collaborate with cross functional team to resolve data quality and operational issues
· Participate in an on-call rotation to support the Information Management cluster
· Interact directly with end users to gather requirements and consult on data integration solutions
· Identify opportunities for team standardization in coding, deployments, documentation and other related areas and create said standards
· Create and maintain key metadata artifacts including, but not limited to, data lineage, data dictionaries, and Entity Relationship Diagrams (ERD)
· Educate the team in emerging related technologies and identify value add opportunities for their implementation
· Develop Interactive Dashboards and supporting Services that will provide customer intelligence insights
· Help developing a high-profile, innovative product that will revolutionize the way how businesses attribute success to their marketing tech stacks
Qualifications

· At least 8 years of hands-on experience working with large data sets
· Extensive experience with Chatbot Real-time
· Must be effective in working both independently and in a customer setting
· Minimum of a BS in a quantitative discipline such as Statistics, Engineering, Computer Science, Applied Mathematics
· Bachelor’s Degree in Computer Science, Mathematics or Machine Learning
· 6 years’ experience with C#/VB, HTML/CSS, JavaScript or C++
· Familiarity with reporting or BI tools



We thank all candidates in advance. Only selected candidates for interviews will be contacted. For other exciting opportunities, please visit us at www.vtrac.com. VTRAC is an equal opportunity employer.
Toronto. Houston. New York. Miami. Palo Alto."
1,Senior Data Engineer (she/he/they),Trafilea,Argentina,hace 1 semana,"About Trafilea
Trafilea is a global company that builds communities and transformative brands. We own the brands and take care of the entire customer journey, to deliver wow-worthy experiences that influence and empower millions of people globally.
Our culture is fast-paced and dynamic. We are data-driven enthusiasts, passionate about marketing, exponential technologies, and innovation.
We have over 300 hundred employees working around the world, connected by the same purpose and core values. Our support for this new way of working has led to being featured in Forbes and FlexJobs as one of the Top 25 Companies for Remote Workers.
We are looking for dynamic, dedicated, and committed individuals with a strong desire to grow, that can drive the brand forward on its truly exciting journey.
Do you want to know more about our Brands? Shapermint, Truekind & Empetua
We're looking for a passionate and methodical Senior Data Engineer, to provide expertise to build and maintain data pipelines and data model pipelines for new and existing products in the company’s data platform, that will impact directly Trafilea’s growth. Must be passionate about data architecture and data warehouse, to create scalable and reliable frameworks to ensure cost-effective and accurate data extraction & transformation pipelines.

Be a part of a team where you will:
Analysis, Design, implementation, and maintenance pipelines that produce business-critical data reliably and efficiently using cloud technologies.
Develop new ETLs, using the current Apache Airflow. Propose new initiatives to improve performance, scalability, reliability, and overall robustness.
Collect, process, and clean data from different sources using Python & SQL.
Work side by side with the main Architects and Developers to create and ensure best practices and guidelines are being used properly by all projects.
Assess and communicate effectively the effort for required developments.
Discover new data sources to improve new and existing data pipelines. Be in charge of building and maintaining data pipelines and data models for new and existing projects.
Maintain detailed documentation of your work and changes to support data quality and governance.
Provide feedback and expert points of view as needed to help thrive all data initiatives in the company.
Improve the quality of existing and new data processes (ETL), incorporating statistical process control, creating alerts when anomalies are received from data sources on every step of the pipeline.
Create benchmark control of execution times for every pipeline, to control and identify potential availability issues.

Job requirements
2-3 years of experience as a Data Engineer, ML Engineer, or similar.
2+ years of experience using Python object-oriented programming and scripting.
Strong experience creating data pipelines and ETL processes in modern technologies using Apache Airflow as the main workflow management tool.
2+ years of experience with the AWS data ecosystem (S3, Glue, Athena, Redshift, Lambda, EC2, RDS ...)
Experience with large-scale data and query optimization techniques using SQL.
Experience managing and monitoring data lakes systems.
Strong experience using source control management and CI/CD (GitHub actions/Gitlab pipelines).
Nice to have: Experience with containerized (Docker, Kubernetes) environments in AWS using EKS/ECS and ECR.
Nice to have: Knowledge and hands-on on cloud stream-processing systems.
Nice to have: Hand-on IAC solutions like Terraform or CloudFormation.

What We Have to Offer:
Proximity doesn’t influence productivity. As a globally distributed team, you can live and work wherever you want.
A rich experience including the opportunity to collaborate with world-class talents. Encouraging transparency and open communication to all.
A data-driven, dynamic, energetic work environment, full of talented, goal-oriented, and empathetic people working together to grow and develop both as professionals and human beings.
A safe space to be who you truly are. We embrace and support diversity, equity and work hard every day to keep becoming more inclusive.
Openness to new ideas and initiatives: You can always join a squad, tribe, or committee, start new ones. Bring your hobbies and passions and transform them into projects!

For more benefits please visit our Trafilea web Site.

Are you ready? Apply for this position today and join the fastest-growing startup in the world!"
2,Data Engineer - EY Global Delivery Services,EY,"Buenos Aires, Provincia de Buenos Aires, Argentina",hace 5 días,"CT Data Engineer

EY is a global leader in assurance, tax, transaction and advisory services. Technology is at the heart of what we do and deliver at EY. Technology solutions are integrated in the client services we deliver and are key to our innovation as an organization.

Fueled by strategic investment in technology and innovation, Client Technology seeks to drive growth opportunities and solve complex business problems for our clients through building a robust platform for business and powerful product engine that are vital to innovation at scale. As part of Client Technology, you’ll work with technologists and business experts, blending EY’s deep industry knowledge and innovative ideas with our platforms, capabilities, and technical expertise. As a catalyst for change and growth, you’ll be at the forefront of integrating emerging technologies from AI to Data Analytics into every corner of what we do at EY. That means more growth for you, exciting learning opportunities, career choices, and the chance to make a real impact.

The selected candidate
Leads the delivery of processes to extract, transform and load data from disparate sources into a form that is consumable by analytics processes, for projects with moderate complexity, using strong technical capabilities
Designs, develops and produces data models of relatively high complexity, leveraging a sound understanding of data modeling standards to ensure high quality
Builds networks with other functional teams across the business to help define and deliver business value, and may interface and communicate with program teams, management and stakeholders as required to deliver small to medium-sized projects

Your Key Responsibilities Include
Leading the production of high-quality data engineering deliverables, helping to ensure project timelines are met, and providing informal mentoring / training to junior members of the team
Translating requirements, design and solution architecture deliverables into detailed design specifications
Leading the delivery of data quality reviews including data cleansing where required to ensure integrity and quality
Leading the delivery of data models, data storage models and data migration to manage data within the organization, for a small to medium-sized project
Resolving escalated design and implementation issues with moderate to high complexity
Analyzing the latest industry trends such as cloud computing and distributed processing and beginning to infer risks and benefits of their use in business
Providing technical expertise to maximize value from current applications, solutions, infrastructure and emerging technologies and seek to continuously improve internal processes
Developing working relationships with peers across other engineering teams and beginning to collaborate to develop leading data engineering solutions
Driving adherence to the relevant data engineering and data modeling processes, procedures and standards

Skills And Attributes For Success
Batch Processing - Capability to design an efficient way of processing high volumes of data where a group of transactions is collected over a period of time
Data Integration (Sourcing, Storage and Migration) - Capability to design and implement models, capabilities and solutions to manage data within the enterprise (structured and unstructured, data archiving principles, data warehousing, data sourcing, etc.). This includes the data models, storage requirements and migration of data from one system to another
Data Quality, Profiling and Cleansing - Capability to review (profile) a data set to establish its quality against a defined set of parameters and to highlight data where corrective action (cleansing) is required to remediate the data
Stream Systems - Capability to discover, integrate, and ingest all available data from the machines that produce it, as fast as it’s produced, in any format, and at any quality

Required Technical Skills
Experience designing and building Data Platforms integrating disparate data sources
Knowledge of distributed computing
Expertise in ETL, SQL
Expertise working with MPP solutions to deal with massive amount of data
Expertise in Azure, Azure Data Bricks, Azure SQL, Synapse
Expertise developing dataflows using NiFi/ADF, Databricks.
Advanced, hands-on in implementing large scale Datawarehouse and data lakes.
Advanced, hands-on experience in Spark architecture and implementation
Experience in working with Distributed Message Systems like Kafka
Hands on experience in Python, Pyspark or R
Knowledge of working with structured and unstructured data sources.
Expert in writing complex SQL and procedures.
Creating Ingestion workflows using Oozie or similar tools
Knowledge of security measures like HTTPS and Kerberos

Beneficial Technical Skills
Knowledge in Graph Databases, preferably Neo4J, Cypher and Cosmos DB
Graph Data modelling
Azure Data Lake Store, Databricks Deltalake
Spark ML
Experience developing Microservices

Education
B.S. Computer Science, Data Analytics, Data Science, Engineering, IT, or related field preferred
Big Data Certification from either Cloudera/Hortonworks/Databricks

What We Look For
Strong analytical skills and problem-solving ability
A self-starter, independent-thinker, curious and creative person with ambition and passion
Excellent inter-personal, communication, collaboration, and presentation skills
Customer focused
Excellent time management skills
Positive and constructive minded
Takes responsibility for continuous self-learning
Takes the lead and makes decisions in critical times and tough circumstances
Attention to detail
High levels of integrity and honesty

What Working At EY Offers

We offer a competitive remuneration package where you’ll be rewarded for your individual and team performance. Our comprehensive Total Rewards package includes support for flexible working and career development, and with FlexEY you can select benefits that suit your needs, covering holidays, health and well-being, insurance, savings and a wide range of discounts, offers and promotions. Plus, we offer:
Support, coaching and feedback from some of the most engaging colleagues around
Opportunities to develop new skills and progress your career
The freedom and flexibility to handle your role in a way that’s right for you

EY is committed to being an inclusive employer and we are happy to consider flexible working arrangements. We strive to achieve the right balance for our people, enabling us to deliver excellent client service whilst allowing you to build your career without sacrificing your personal priorities.

About EY

As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.

Make your mark.

Apply now."
3,Data Engineer,"BetterVet, Mobile Vet Care","Provincia de Buenos Aires, Argentina",hace 1 semana,"Publicado por
Cody Adams
Senior Recruiter, Proud Husband and Father
Enviar mensaje InMail
About BetterVet
BetterVet is a vet-tech company with the vision of creating the most advanced and complete in-home vetcare model in the world. BetterVet is transforming the veterinary industry by creating a delivery solution that provides exceptional care for pets in the home through telemedicine, convenient hours, and in-home visits.

About the Role
BetterVet is seeking an experienced Data Engineer with 5-7 years of experience to manage and develop all databases, systems, and data syncs and pipelines. This person must understand SQL and NoSQL databases and have strong experience in ETL. As an engineer in this team, the individual will be involved in the plan, build and run activities related to database technology. This role will contribute to the design/architect, solution engineering, and support. This individual should be well versed in database administration and engineering practices and principles.

Responsibilities
Manage, support, and maintain database technology and infrastructure, adhering to the architectural guidelines and policies.
Support NoSQL database MongoDB. Manage all data syncs between CRM, Practice Management Database, and Mongodb.
Analyze, design, develop and maintain database systems
Responsible for data syncing between systems
Support business by assuring data issues are fixed.
Write/maintain scripts for DB automation and application maintenance.
Maintain development, staging, and production environments .
Maintain security and user access.
ETL understanding and experience for syncing data, preferably in JavaScript or Python
Work closely with Solutions Architect and product team on new requirements.
Ability to work well as a team and as an individual with minimal supervision.
Qualifications:
Bachelors/Degree in Computer Science or other technology field is necessary.
5-7 years of database engineering and administrative experience
Strong knowledge and extensive experience with MongoDB technology and other NoSQL are mandatory and a good understanding of distributed systems concepts.
Sound knowledge of all LINUX and DB utilities. Troubleshoot database production problems and database connectivity issues.
Should have strong LINUX platform skills and understanding of the network, storage, tiered application environments, and security.
Proficiency in writing ansible, functions, and packages for administration and DB support and experience with MongoDB Streams and replication will be a plus.
Experience in DB Backup and Recovery strategies and good knowledge in database concurrency mechanisms.
Sound knowledge of NoSQL technologies like MongoDB, and understanding of JSON data structures.
Work experience in a startup preferred
Benefits and Perks
Health, dental and vision from day one
Paid time off
Paid maternity/paternity leave
Career advancement opportunities"
4,Sr. Data Engineer,Chevron,"Buenos Aires, Provincia de Buenos Aires, Argentina",hace 1 semana,"Data Engineer should design so that data products and data pipelines are resilient to change, modular, flexible, scalable, reusable, and cost-effective

The Chevron Business Support Center (BASSC) located in Buenos Aires (Puerto Madero), Argentina, is accepting online applications for the position Sr, Data Engineer. Successful candidates will join the Data Engineering team which is part of a successful multifunction service center with a workforce of more than 700 employees delivering business services and solutions across the globe.

Responsibilities for this position may include but are not limited to:
Understand business use of data and stakeholder requirements to support work processes and strategic business objectives.
Leverage data, software engineering, and data science techniques to create business value through data accessibility. Includes data ingestion, data preparation and analytics processing.
Identify, acquire, cleanse & prepare, store data and develop data products aligned with defined architecture patterns
Responsible for normalizing and ingesting data from multiple sources
Contributing to the inner source development of foundational tools, and/or the deployment of technical services.
Required Qualifications
Leadership (Align & Inspire) – Prioritize & take ownership of work. Communicate progress. Listen to understand intent & needs. Adjust communication for audience. Be comfortable driving discussions clearly with a wide range of partners and levels of the organization
Teamwork and Collaboration - Connect on shared goals. Offer suggestions & solutions. Recognize others contributions. Work collaboratively in an agile construct & seek diverse perspectives. Manage tasks that span support groups, end users and vendors resources. Works well with global teams and across time zones
Innovation & Growth Mindset - Provide feedback & be receptive to feedback received. Share best practices. Challenge the status quo. Simplify processes. Seek opportunities to grow skills.
Knowledge and/or experience with data acquisition, preparation and validation; data movement and transformation; big data computing; cloud computing, core data architecture; information security technologies and software engineering using technologies such as: Azure Data Factory, Azure Data Bricks, Azure Logic Apps and SQL expertise
Preferred Qualifications
BS in Computer Science, Management Information Systems, Computer Engineer or related fields or equivalent experience
Relocation Options:

Relocation will not be considered.

International Considerations

Expatriate assignments will not be considered.

Chevron regrets that it is unable to sponsor employment Visas or consider individuals on time-limited Visa status for this position.

Chevron participates in E-Verify in certain locations as required by law."
5,Data Engineer,Toptal,"La Laguna, Córdoba, Argentina",hace 2 horas,"About The Job

Toptal developers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about their client’s business, and ready to work on exciting projects with Fortune 500 companies and Silicon Valley startups, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.

About Toptal

Toptal is an exclusive network of top freelancers from around the world. Fortune 500 companies and Silicon Valley startups hire Toptal for their most important projects. Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers.

Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions.

About The Role

As a Data Engineer, your main goal is to be one step ahead of data scientists and analysts. You will support them by providing infrastructure and tools they can use to deliver end-to-end solutions to business problems that can be developed rapidly and maintained easily. This is more than building and maintaining ETL pipelines. We need innovation, creativity, and solutions that will have a significant impact on the client’s velocity.

Requirements
3+ years of professional experience in software development
Working experience with Python and Pandas.
Familiarity with the basic principles of distributed computing and data modeling.
Extensive experience with object-oriented design and coding and testing patterns, including experience with engineering software platforms and data infrastructures.
Working experience with Airflow and Luigi is a big plus.
Working experience with Scala is a plus.
Familiarity with Google Cloud Platform (e.g. GCS and BigQuery) is a plus.
Working experience with Dimensional Modeling and Rails is a plus.
Outstanding communication and interpersonal skills.
Full-time availability is a strong advantage
If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#RemoteJobDataEngineering"
6,Data Engineer - Applied AI,JPMorgan Chase & Co.,"Buenos Aires, Provincia de Buenos Aires, Argentina",hace 5 días,"About Our Team

The mission of our Applied AI team is to ensure J.P. Morgan's Global Technology Infrastructure can readily capitalize on the latest AI capabilities, without limitations to scale and complexity. In doing so, the team builds software systems, AI models, technological process and intelligent frameworks that minimize technological risk, while increasing operational efficiency and efficacy across the lines of business.

To achieve this, our team has assembled a diverse range of first-class talent, spanning three specialist pillars of Data Scientists, Engineers and Product leads. Across these pillars, our people work collaboratively, engaging with a broad range of stakeholders and partners to accelerate the adoption and delivery of AI-optimized infrastructure across the firm.

Our team has three core hubs of Jersey City, London and Buenos Aires, and is underpinned by a superb culture. As we have scaled from our ""startup"" roots inside a corporation, we have learned to place a premium on four values as a team: Open collaboration, Always learning, Ethical expertise and Practical innovation. This all makes for an exceptionally friendly, supportive, creative, dynamic, and ultimately impactful environment.

Who are we looking for?

Junior Positions

As we continue to grow, we are looking to hire talented engineers, across a broad range of experience, who share our passion for delivering impactful AI solutions at enterprise scale. We want people who get excited to hear words like 'Big data', 'Spark' and 'Parallel Processing', and who want to work with cutting edge technologies, such as hybrid cloud architectures, streaming methodologies and petabytes of data to process. So, if you are looking at taking your career to the next stage, see if you have the criteria we are looking for:
Solid knowledge of Python.
Solid understanding of computer science concepts, such as time and space complexity, data structures and basic algorithms.
Experience working with one of the industry databases: MySql, Oracle, or any No-SQL data stores.
Mid-level Positions
Solid knowledge and industry proven experience with Python.
Deep understanding of computer science concepts, such as time and space complexity, data structures and basic algorithms.
Experience in architecture and system design.
Experience working with one of the industry databases: MySql, Oracle, or any No-SQL data stores.
Experience building ETL data pipelines.
Experience working in agile distributed teams.
Senior Positions
Deep knowledge and industry proven experience in Python.
Deep understanding of computer science concepts.
Significant experience working with one of the industry databases: MySql, Oracle, or any No-SQL data stores.
Substantial experience in architecture and system design.
Experience building ETL data pipelines.
Experience with big data platforms and tools such as Spark, Hadoop, Google BigQuery, Apache Storm etc.
Experience building and deploying applications to cloud platforms such as AWS, GCP, Azure etc.
Experience of leading projects and/or agile engineering teams.
What will your responsibilities be?

As an engineer, you can expect the following responsibilities to form your core book of work:
Coding in Python.
Contributing to the design and architecture of AI Solutions.
Building out data pipelines to run on AWS and private cloud.
Collaborating with data scientists, product managers and external technical and business teams.
In Addition To This, Everyone On Our Team Is Encouraged To Participate In Three Other Sets Of Activities, Which We Find Helps Our Team Members Contribute And Grow
Corporate citizenship: supporting communities of practice or Business Resilience Groups (and across our team we have people representing all manner of diversity, equity and inclusion groups).
Learning and development: everyone needs time and space to grow, and managers will help you set aside time for this - so you can benefit from the huge amount of internal resources and learning programs available to you.
Consultancy: we want you to be experts in your specialist field, and if you are ready, we will encourage you to engage with internal clients, speak at our tech events and represent us at external conferences.
What other benefits are there?

While J.P. Morgan provides extensive benefits to all employees, our own team also has crowd-sourced culture leads who contribute to the cohesion and togetherness of our team, arranging social activities and engagement events for those who want to participate.

What else do we want you to let you know?
J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
El empleador sólo podrá solicitarle la información estrictamente necesaria para el desempeño en el trabajo que se ofrece. Ley Nº 6471 CABA

J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs."
7,MLOps / Data Engineer,ConverseNow.AI,Argentina,hace 23 horas,"Job ID: 2253

Who We Are

ConverseNow is the leading conversational AI platform for restaurants, automating the process of taking orders across voice channels such as phone, drive-thru and mobile live chat. With cutting-edge technology and a passion for service, we sit at the intersection of Tech, B2B SaaS and Hospitality.

We’ve emerged as an AI and foodservice industry leader, and are enjoying massive growth. Backed by blue chip investors such as CRAFT Ventures (Tesla, Uber, Airbnb, Postmates, Slack), we’ve raised $18M in funding and are gearing up for a series B in the near future. We’re based in Austin, TX, with a remote team distributed across the globe.

ConverseNow is looking for an MLOps / Data Engineer to help in building the ultimate voice-based conversational AI. We’re looking for coders and creators with a refined code sense: people who’ve built cool things, but who can also maintain and scale those things, and who feel proud seeing their code in production.

What You'll Do

Be the technical product owner for the data pipeline, evaluation/benchmarking and monitoring tools working closely with Data Scientists to support their needs
Design and develop Infrastructure for MlOps, including data pipelines, model serving/versioning and monitoring.
Design and develop Benchmarking and Evaluation Tools
Support the NLP team in building proof of concepts (POC)
Build, operationalize and help take POCs to production
Support ML Ops and Production Support as required

What You'll Bring

The ideal candidates would have professional experience building data and model pipelines and supporting ML Ops for cutting edge data science teams, be proficient with Python and/or Golang and excited to work in a fast-moving start-up environment
Strong experience with MLOps - With a focus in building and managing data pipelines
Strong software engineering, data management skills
Strong proficiency in Python or Scala. Golang is a plus.
Experience building scalable services
Good design and problem solving skills
Experience working with cloud infrastructure (GCP, AWS, Azure)
Experience working with docker/containers, and/or Kubernetes
Strong with SQL and/or NoSQL databases
Experience designing and creating APIs. Flask or FastAPI knowledge is a plus

What We Provide

Unlimited PTO
Remote work supplement including laptop
An incredible team with tremendous passion for the company’s mission, sharing a “Let’s do this” attitude while maintaining a strong work/life balance

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
8,Data Platform Engineer,Belong,"Buenos Aires, Provincia de Buenos Aires, Argentina",hace 1 semana,"Our mission is to create authentic belonging experiences for those who own much-loved homes, and those longing for that feeling.

Belong is changing what it means to rent a home by putting people first. It’s where hospitality meets consumer real estate—and it’s about to redefine an entire industry. We’re backed by Andreessen Horowitz (a16z), GGV Capital, and Battery Ventures, just to name a few of our all-star investors.

Have you been looking to join an early-stage startup? Are you looking for a fast-paced environment where your voice matters? Then, Belong is for you!

We are looking for a data engineering thought leader to design and build a unified cloud data platform that will facilitate the ingestion, storage, processing, and maintenance of large and complex data sources to be used as the single source of truth by the company. This platform will support business intelligence and advanced analytics, enterprise decision support systems, and machine learning applications.

This role provides the opportunity to shape the strategy and vision for a flexible, reliable, and future-ready data platform that will provide a data-driven competitive advantage to a fast-growing company.

Responsabilities
Architect and build a data engineering pipeline including data ingestion, storage, catalog & search, data processing & analytics, and data access & security layers; design the ETL framework used by all pipelines at the company
Own the full life cycle of the data lake and data warehouse implementation process, considering business requirements, database design, data sourcing, transformation, loading, and performance tuning.
Apply knowledge of software engineering fundamentals, including knowledge of algorithms and data structures
Bring experience building, deploying, and debugging production systems at scale
Showcase the ability to trade-off the engineering work in terms of value versus cost, maintainability, and generalizability
Showcase consistency by executing efficiently and proactively against a strategy of complex efforts
Strive to ensure high-quality outcomes and the best possible user experience
Exhibit good communication, interpersonal, and collaboration skills self-motivated, passionate about big data technologies, and is eager to drive meaningful impact at a growing tech start-up
Required Qualifications
BS or MS degree in Computer Science, Software Engineering, or relevant technical field
5+ years of experience with at least one object-oriented/functional language (i.e., Python, Java, Scala)
5+ years of SQL experience
Experience with relevant industry tools, architectures, and cloud providers (i.e., AWS, Google Cloud, Microsoft Azure, Databricks)
Experience implementing cloud analytics platforms (i.e., AWS Redshift, Google BigQuery, Azure Data Warehouse, Snowflake)
Experience with big data technologies and compute services (i.e., Amazon EMR, Spark, Presto, Hive)
Knowledge of data pipeline and workflow management tools (i.e., Airflow)
Nice to Have
Experience with event streaming services (i.e., Kafka)
Experience with data modeling and transformation (i.e., dbt)
Experience with building dashboards and integration of data analysis tools (i.e., Looker)
Experience with integrating the data platform with ML tools (i.e., Sagemaker)
As soon as you join the team, you will start partnering closely with existing team members such as data analysts, engineers, and senior management. You will get familiarized with existing systems and tools to fully understand the status quo of Belong’s data infrastructure.

Within a few weeks, you will take ownership of designing and building the architecture for Belong’s data analytics platform. You will build the data ingestion, storage, catalog, and processing layers with the ultimate goal to unify all data sources across the company within a cloud data lake or warehouse. Next, you will make sure teams across the company can access the latest and most accurate data insights. This will be accomplished through the high-quality data pipelines you will build to help make key decisions for the company.

By the end of your first 120 days, you will have built a centralized analytics platform – a single source of truth for all data sources – to empower the company with a complete view of the most important data about its users. By the end of your first year, you will have enabled a comprehensive platform that will support big data analytics and exciting machine learning capabilities."
9,Data Engineer,Wildlife Studios,"Buenos Aires, Provincia de Buenos Aires, Argentina",hace 1 semana,"We're looking for a talented and passionate Senior Data Engineer to join Wildlife's IT Operations team in São Paulo, Brazil or Buenos Aires, Argentina.

The mission of the IT Operations team at Wildlife is to have world-class productivity and efficiency across the company by finding and further investigating efficiency opportunities related to usage and/or provisioning of technology resources.

As a Senior Data Engineer, you’ll play a key role in developing the analyses and algorithms that identify the patterns and type of usage of our data. You will be responsible for finding and further investigating opportunities related to better usage and storage of our data.

We know that the work we do has a high impact on our company's success and culture. The right person for this position is curious by nature, and comfortable in a ""take the initiative"" environment, loves solving problems, and can thrive in a fast and growing business.

What You'll Do
Be part of a high output team, directly contributing to company results;
Work proactively and closely with data scientists, product managers game and engineering teams to identify and execute optimizations on existing data pipelines;
Identify unused data and propose how to handle it (sampling, deletion, move to colder classes of storage);
Find and propose data modeling optimizations across the data lake to avoid inefficiencies like duplicated data, data normalization, data types, etc (table partitioning, migrating to delta tables);
Develop anomaly detection capabilities.
What You'll Need
University degree in courses related to computing such as Computer Engineering, Computer Science or a related field;
2+ years of experience working as a data engineer on technically challenging problems;
Programmer with SQL proficiency;
Experience creating data pipelines;
Knowledge and experience with Python or Spark;
Knowledge and experience with AWS;
Knowledge and experience with Airflow or other workflow management tool is a differential.
More About You
You are a resourceful person with a go-getter attitude;
You are passionate about the data industry and thirsty for innovation;
You are not afraid to propose and explore new initiatives;
You are a determined and metrics oriented engineer who wants to deliver results;
You have an analytic mindset and focus on ensuring visibility to your clients and peers;
You are passionate about working on and solving problems;
You are a team player. You're willing to help out wherever needed.
About Wildlife

Wildlife is one of the leading mobile game developers and publishers in the world. We have released more than 60 titles, reaching billions of people around the globe. Today, we have offices in Brazil, Argentina, Ireland, and the United States. Here, we create games that will excite, intrigue, and engage our players for years to come!

Equal Opportunity & Affirmative Action

Wildlife is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, colour, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state, and local law.

Wildlife is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process."
